"bedrooms","bathrooms","area","floors","yearbuilt","location","condition","garage","price"
"2","1","1528.5","3","1949","Downtown","Excellent","No","492000.0"
"2","6","2199.9","5","1989","Downtown","Excellent","No","950000.0"
"6","18","6605.3","1","2019","Downtown","Excellent","No","3567000.0"
"10","19","7765.7","4","2015","Downtown","Excellent","No","4176000.0"
"7","3","4881.8","4","2023","Downtown","Excellent","No","2605000.0"
"17","15","12693.9","3","1974","Downtown","Excellent","No","4613000.0"
"3","4","1372.0","2","2008","Downtown","Excellent","No","674000.0"
"3","1","862.0","1","2000","Downtown","Excellent","No","409000.0"
"20","7","10303.5","2","2019","Downtown","Excellent","No","5528000.0"
"3","4","3062.0","1","1914","Downtown","Excellent","No","1022000.0"
"20","18","19403.8","4","2023","Downtown","Excellent","No","10029000.0"
"1","9","1702.4","5","2014","Downtown","Excellent","No","980000.0"
"2","14","4494.8","3","2017","Downtown","Excellent","No","2392000.0"
"1","2","1213.4","3","2016","Downtown","Excellent","No","605000.0"
"7","2","4402.4","1","1960","Downtown","Excellent","No","1431000.0"
"3","5","2852.1","3","2017","Downtown","Excellent","No","1382000.0"
"4","4","661.0","2","1921","Downtown","Excellent","No","355000.0"
"1","8","2507.9","3","1902","Downtown","Excellent","No","896000.0"
"6","10","4110.1","4","2018","Downtown","Excellent","No","2242000.0"
"5","19","4335.5","1","1986","Downtown","Excellent","No","1918000.0"
"4","4","4702.0","2","1915","Downtown","Excellent","No","1709000.0"
"2","8","3357.4","3","2007","Downtown","Excellent","No","1614000.0"
"15","13","10759.6","2","1966","Downtown","Excellent","No","3767000.0"
"1","15","4282.2","5","2022","Downtown","Excellent","No","2420000.0"
"1","20","5166.7","4","2022","Downtown","Excellent","No","2934000.0"
"1","8","2344.2","5","1980","Downtown","Excellent","No","960000.0"
"2","16","2997.4","5","2022","Downtown","Excellent","No","1800000.0"
"2","6","2565.5","4","1981","Downtown","Excellent","No","993000.0"
"4","17","5558.9","2","2014","Downtown","Excellent","No","2902000.0"
"1","2","1162.9","1","2016","Downtown","Excellent","No","551000.0"
"3","19","5024.5","4","2010","Downtown","Excellent","No","2617000.0"
"3","4","2140.6","5","2012","Downtown","Excellent","No","1078000.0"
"3","3","1468.0","1","2023","Downtown","Excellent","No","572000.0"
"1","11","3343.3","4","2011","Downtown","Excellent","No","1728000.0"
"1","4","2168.0","2","1996","Downtown","Excellent","No","702000.0"
"1","7","2828.4","2","2022","Downtown","Excellent","No","1509000.0"
"4","3","4968.0","3","1945","Downtown","Excellent","No","1733000.0"
"5","20","9395.1","1","1986","Downtown","Excellent","No","3760000.0"
"2","8","2116.0","4","2015","Downtown","Excellent","No","1147000.0"
"3","11","3000.4","2","1961","Downtown","Excellent","No","1084000.0"
"18","8","7662.1","5","1974","Downtown","Excellent","No","2957000.0"
"12","16","5519.0","4","2012","Downtown","Excellent","No","3053000.0"
"1","4","3801.0","2","1979","Downtown","Excellent","No","1464000.0"
"5","3","4670.0","1","1934","Downtown","Excellent","No","1744000.0"
"2","1","3520.0","3","1986","Downtown","Excellent","No","1234000.0"
"2","20","5340.6","4","2001","Downtown","Excellent","No","2596000.0"
"1","12","3929.2","2","2018","Downtown","Excellent","No","2086000.0"
"19","4","8407.8","5","2015","Downtown","Excellent","No","4447000.0"
"2","12","2221.5","5","2021","Downtown","Excellent","No","1334000.0"
"4","3","3586.0","1","1929","Downtown","Excellent","No","1411000.0"
"14","16","7920.5","2","2023","Downtown","Excellent","No","4504000.0"
"5","14","5485.2","5","2020","Downtown","Excellent","No","3008000.0"
"3","19","4370.1","5","1912","Downtown","Excellent","No","1688000.0"
"3","4","2085.2","2","2014","Downtown","Excellent","No","1023000.0"
"3","4","2675.5","4","2013","Downtown","Excellent","No","1318000.0"
"2","2","1785.0","3","2002","Downtown","Excellent","No","796000.0"
"5","9","3857.7","2","2019","Downtown","Excellent","No","2062000.0"
"2","1","1845.0","5","1987","Downtown","Excellent","No","732000.0"
"2","1","1045.0","2","1982","Downtown","Excellent","No","451000.0"
"11","8","3458.3","3","1945","Downtown","Excellent","No","1384000.0"
"14","20","6894.0","3","1915","Downtown","Excellent","No","2714000.0"
"2","2","2558.0","2","1957","Downtown","Excellent","No","1027000.0"
"4","17","5498.1","3","2023","Downtown","Excellent","No","3075000.0"
"3","2","4328.0","2","1914","Downtown","Excellent","No","1700000.0"
"18","16","8674.2","2","1959","Downtown","Good","No","2828000.0"
"5","10","3110.6","3","2004","Downtown","Good","No","1334000.0"
"2","15","3290.4","2","1992","Downtown","Good","No","1299000.0"
"2","6","1953.7","3","2001","Downtown","Good","No","781000.0"
"1","1","1618.8","3","2004","Downtown","Good","No","608000.0"
"2","3","1199.0","1","2002","Downtown","Good","No","294000.0"
"4","2","3679.0","1","2012","Downtown","Good","No","1047000.0"
"14","7","8849.3","4","2002","Downtown","Good","No","3513000.0"
"3","5","3474.7","2","1982","Downtown","Good","No","1069000.0"
"6","15","5546.0","5","2010","Downtown","Good","No","2454000.0"
"1","3","1598.6","4","2012","Downtown","Good","No","674000.0"
"8","17","5420.5","5","2005","Downtown","Good","No","2407000.0"
"6","20","5061.3","1","2016","Downtown","Good","No","2397000.0"
"1","10","4455.8","5","2022","Downtown","Good","No","2047000.0"
"3","13","4701.0","4","1972","Downtown","Good","No","1447000.0"
"5","7","3006.1","2","2008","Downtown","Good","No","1266000.0"
"3","5","1696.0","1","1945","Downtown","Good","No","481000.0"
"2","14","1772.5","1","1944","Downtown","Good","No","663000.0"
"2","3","1558.0","3","1930","Downtown","Good","No","473000.0"
"3","2","4607.0","2","1981","Downtown","Good","No","1534000.0"
"5","16","3958.1","2","1913","Downtown","Good","No","1314000.0"
"3","14","5990.9","5","1963","Downtown","Good","No","1786000.0"
"10","6","5924.3","2","1993","Downtown","Good","No","2172000.0"
"1","2","1618.1","4","2016","Downtown","Good","No","684000.0"
"5","4","3869.0","3","1929","Downtown","Good","No","1383000.0"
"13","6","6423.8","3","1941","Downtown","Good","No","1971000.0"
"2","3","1808.0","2","1991","Downtown","Good","No","661000.0"
"3","3","1756.2","1","2011","Downtown","Good","No","684000.0"
"5","4","3932.0","2","1977","Downtown","Good","No","1466000.0"
"3","3","3636.0","3","1960","Downtown","Good","No","1250000.0"
"2","16","4298.4","4","2000","Downtown","Good","No","1777000.0"
"1","16","3789.1","4","2008","Downtown","Good","No","1697000.0"
"1","6","2261.0","2","1984","Downtown","Good","No","752000.0"
"5","14","4911.9","4","2017","Downtown","Good","No","2266000.0"
"3","3","1188.9","5","1967","Downtown","Good","No","378000.0"
"6","12","5969.5","5","2014","Downtown","Good","No","2634000.0"
"7","1","2777.5","5","1964","Downtown","Good","No","860000.0"
"14","20","5294.4","4","1983","Downtown","Good","No","2184000.0"
"15","13","8592.4","1","1921","Downtown","Good","No","2663000.0"
"12","11","6209.0","2","2020","Downtown","Good","No","2932000.0"
"20","4","7081.4","5","1956","Downtown","Good","No","2306000.0"
"15","2","6401.4","2","2014","Downtown","Good","No","2802000.0"
"10","13","5793.1","5","2023","Downtown","Good","No","2848000.0"
"1","4","2897.0","3","1989","Downtown","Good","No","1117000.0"
"14","9","6515.6","1","1938","Downtown","Good","No","2043000.0"
"12","9","8302.0","1","1990","Downtown","Good","No","2949000.0"
"5","20","4806.1","1","1931","Downtown","Good","No","1585000.0"
"12","4","4493.7","2","2005","Downtown","Good","No","1894000.0"
"3","15","4432.9","3","2009","Downtown","Good","No","1916000.0"
"2","10","2976.9","4","1985","Downtown","Good","No","1074000.0"
"2","2","605.4","2","2012","Downtown","Good","No","246000.0"
"11","7","10852.8","4","1971","Downtown","Good","No","3081000.0"
"6","9","4711.4","4","1905","Downtown","Good","No","1433000.0"
"8","8","5611.2","2","2005","Downtown","Good","No","2269000.0"
"1","20","4965.7","1","2019","Downtown","Good","No","2331000.0"
"1","4","1384.0","1","1920","Downtown","Good","No","360000.0"
"15","18","8530.0","2","1976","Downtown","Good","No","2896000.0"
"3","17","5305.8","2","1954","Downtown","Good","No","1622000.0"
"2","2","4225.0","2","2013","Downtown","Good","No","1553000.0"
"3","5","2676.4","5","2012","Downtown","Good","No","1137000.0"
"5","3","3014.5","5","2008","Downtown","Good","No","1242000.0"
"2","1","1282.7","5","2022","Downtown","Good","No","565000.0"
"1","3","1466.0","3","1985","Downtown","Good","No","511000.0"
"1","18","4679.1","1","2013","Downtown","Good","No","2091000.0"
"12","6","4070.3","2","2010","Downtown","Good","No","1842000.0"
"1","7","2732.8","1","2001","Downtown","Good","No","1040000.0"
"2","12","3767.0","5","2023","Downtown","Good","No","1810000.0"
"10","8","4715.7","2","2022","Downtown","Good","No","2249000.0"
"1","4","1055.7","1","1996","Downtown","Good","No","386000.0"
"3","5","3371.3","2","1974","Downtown","Good","No","954000.0"
"1","20","4418.0","2","1981","Downtown","Good","No","1596000.0"
"1","9","1776.9","2","2016","Downtown","Good","No","843000.0"
"1","3","1106.0","4","1972","Downtown","Good","No","346000.0"
"5","3","1114.0","1","1900","Downtown","Good","No","361000.0"
"4","3","3920.0","3","1975","Downtown","Good","No","1167000.0"
"1","20","4594.1","2","2012","Downtown","Good","No","2095000.0"
"14","6","6817.3","5","2019","Downtown","Good","No","3163000.0"
"4","12","3731.1","4","2020","Downtown","Good","No","1770000.0"
"2","2","3592.0","3","1938","Downtown","Good","No","1174000.0"
"17","7","2907.9","4","2012","Downtown","Good","No","1596000.0"
"1","3","875.0","2","1991","Downtown","Good","No","309000.0"
"3","16","4523.3","5","1963","Downtown","Good","No","1452000.0"
"16","20","7508.4","2","1993","Downtown","Good","No","3084000.0"
"3","2","4544.0","3","1975","Downtown","Good","No","1415000.0"
"12","15","9496.3","4","1946","Downtown","Good","No","2897000.0"
"3","9","3181.7","5","1980","Downtown","Good","No","1081000.0"
"5","2","4653.0","2","1975","Downtown","Good","No","1190000.0"
"20","2","6665.2","2","2007","Downtown","Good","No","2882000.0"
"3","5","1938.5","3","2019","Downtown","Good","No","868000.0"
"4","3","664.0","2","1910","Downtown","Good","No","231000.0"
"2","1","3646.0","1","2019","Downtown","Good","No","1231000.0"
"1","3","530.2","3","2007","Downtown","Good","No","242000.0"
"1","16","3373.9","2","1977","Downtown","Good","No","1185000.0"
"9","1","1714.6","1","1985","Downtown","Good","No","659000.0"
"2","11","3347.6","2","2017","Downtown","Good","No","1509000.0"
"1","4","1438.0","1","1973","Downtown","Good","No","447000.0"
"5","11","3824.2","5","1994","Downtown","Good","No","1517000.0"
"8","11","5470.0","3","1935","Downtown","Good","No","1695000.0"
"4","3","1855.0","3","2003","Downtown","Good","No","921000.0"
"15","9","10441.5","2","2011","Downtown","Good","No","4399000.0"
"12","10","6479.5","4","2005","Downtown","Good","No","2748000.0"
"1","3","1456.0","1","1901","Downtown","Good","No","405000.0"
"1","10","2636.5","3","1951","Downtown","Good","No","838000.0"
"14","17","8727.8","4","1932","Downtown","Good","No","2789000.0"
"3","4","982.2","1","1952","Downtown","Good","No","284000.0"
"4","8","3850.4","4","2021","Downtown","Good","No","1759000.0"
"1","11","2883.6","1","1974","Downtown","Good","No","919000.0"
"2","17","5353.3","3","1976","Downtown","Good","No","1739000.0"
"7","3","3387.5","5","2021","Downtown","Good","No","1569000.0"
"3","3","4785.0","3","1941","Downtown","Good","No","1323000.0"
"2","9","1445.5","4","2011","Downtown","Good","No","719000.0"
"2","7","3224.7","5","2021","Downtown","Good","No","1474000.0"
"5","12","6219.9","4","2023","Downtown","Good","No","2868000.0"
"18","5","5643.3","4","2021","Downtown","Good","No","2791000.0"
"6","11","3521.0","3","1908","Downtown","Good","No","1154000.0"
"17","15","9273.0","5","2011","Downtown","Good","No","4159000.0"
"2","3","1812.3","3","1984","Downtown","Good","No","581000.0"
"16","12","9528.0","1","1997","Downtown","Good","No","3696000.0"
"3","15","2958.4","4","1932","Downtown","Good","No","1025000.0"
"19","11","9494.1","4","2023","Downtown","Good","No","4565000.0"
"2","2","970.0","3","2012","Downtown","Good","No","404000.0"
"4","11","3267.3","1","2021","Downtown","Good","No","1528000.0"
"2","4","4699.0","1","1934","Downtown","Good","No","1585000.0"
"2","8","3091.9","4","2016","Downtown","Good","No","1374000.0"
"2","12","3348.7","2","2001","Downtown","Good","No","1359000.0"
"19","7","8560.2","2","2009","Downtown","Good","No","3696000.0"
"3","19","4466.0","2","1969","Downtown","Good","No","1446000.0"
"8","3","4526.2","2","2007","Downtown","Good","No","1817000.0"
"2","14","4775.1","4","1979","Downtown","Good","No","1590000.0"
"8","12","6597.1","1","2004","Downtown","Good","No","2660000.0"
"4","13","4547.2","1","2017","Downtown","Good","No","2033000.0"
"3","18","4648.2","1","2008","Downtown","Good","No","2006000.0"
"19","16","13958.1","2","1997","Downtown","Good","No","5342000.0"
"1","11","3674.7","5","2006","Downtown","Good","No","1557000.0"
"2","8","3059.3","5","2003","Downtown","Good","No","1251000.0"
"10","12","4556.7","2","1999","Downtown","Good","No","1925000.0"
"6","11","3877.2","5","2005","Downtown","Good","No","1693000.0"
"16","16","9036.1","1","2010","Downtown","Good","No","3974000.0"
"4","2","2822.0","1","2011","Downtown","Good","No","1002000.0"
"1","8","2615.5","5","1996","Downtown","Good","No","1036000.0"
"5","2","4992.0","2","1928","Downtown","Good","No","1821000.0"
"1","15","4070.8","2","1972","Downtown","Good","No","1292000.0"
"3","11","4436.5","4","2004","Downtown","Good","No","1791000.0"
"9","8","7864.2","5","2008","Suburban","Fair","Yes","1877000.0"
"19","19","11038.4","1","1961","Suburban","Fair","Yes","2200000.0"
"13","9","5246.5","3","1994","Suburban","Fair","Yes","1335000.0"
"3","10","5391.7","5","2016","Suburban","Fair","Yes","1354000.0"
"5","4","3411.0","2","1904","Suburban","Fair","Yes","637000.0"
"9","8","6229.3","1","2002","Suburban","Fair","Yes","1438000.0"
"13","19","10890.3","2","1979","Suburban","Fair","Yes","2195000.0"
"3","15","6599.8","1","2010","Suburban","Fair","Yes","1569000.0"
"14","10","9046.9","1","1978","Suburban","Fair","Yes","1759000.0"
"13","13","9220.6","5","1967","Suburban","Fair","Yes","1761000.0"
"9","2","4885.2","2","1968","Suburban","Fair","Yes","843000.0"
"4","9","4348.5","3","1990","Suburban","Fair","Yes","927000.0"
"8","6","5591.1","4","2011","Suburban","Fair","Yes","1387000.0"
"15","17","12116.7","1","1987","Suburban","Fair","Yes","2535000.0"
"4","4","2756.2","4","2007","Suburban","Fair","Yes","667000.0"
"17","8","9826.7","5","1981","Suburban","Fair","Yes","2019000.0"
"6","15","7530.4","2","1984","Suburban","Fair","Yes","1519000.0"
"8","5","6373.0","4","1989","Suburban","Fair","Yes","1293000.0"
"13","4","5134.3","4","1970","Suburban","Fair","Yes","1042000.0"
"7","17","4075.4","4","1922","Suburban","Fair","Yes","985000.0"
"18","19","12105.3","1","2007","Suburban","Fair","Yes","3045000.0"
"11","3","7305.7","3","1963","Suburban","Fair","Yes","1247000.0"
"10","10","3335.6","1","2023","Suburban","Fair","Yes","1081000.0"
"4","7","3082.5","3","1957","Suburban","Fair","Yes","584000.0"
"6","20","4687.0","5","2021","Suburban","Fair","Yes","1502000.0"
"12","7","7073.8","4","1967","Suburban","Fair","Yes","1328000.0"
"6","19","8340.4","2","1984","Suburban","Fair","Yes","1716000.0"
"4","8","1991.4","1","1940","Suburban","Fair","Yes","427000.0"
"11","19","11417.5","5","2002","Suburban","Fair","Yes","2703000.0"
"9","4","4959.9","5","1956","Suburban","Fair","Yes","934000.0"
"7","15","5884.0","1","1908","Suburban","Fair","Yes","1144000.0"
"9","7","4510.9","2","1910","Suburban","Fair","Yes","883000.0"
"3","13","3126.7","1","1992","Suburban","Fair","Yes","753000.0"
"19","4","10174.7","3","2013","Suburban","Fair","Yes","2559000.0"
"9","9","5693.4","5","1925","Suburban","Fair","Yes","1121000.0"
"17","3","5541.1","4","1978","Suburban","Fair","Yes","1245000.0"
"20","9","13306.8","5","1980","Suburban","Fair","Yes","2611000.0"
"4","6","2252.4","3","1993","Suburban","Fair","Yes","539000.0"
"17","15","9753.3","4","1978","Suburban","Fair","Yes","2071000.0"
"7","20","8560.8","2","2011","Suburban","Fair","Yes","2176000.0"
"13","20","5332.3","4","1982","Suburban","Fair","Yes","1456000.0"
"20","16","9851.1","4","1965","Suburban","Fair","Yes","2058000.0"
"19","10","11966.1","4","2023","Suburban","Fair","Yes","3244000.0"
"7","12","4135.4","4","1951","Suburban","Fair","Yes","903000.0"
"13","13","7682.2","1","1980","Suburban","Fair","Yes","1616000.0"
"3","2","4133.0","1","1952","Suburban","Fair","Yes","672000.0"
"5","6","2611.3","1","1985","Suburban","Fair","Yes","560000.0"
"4","4","2437.7","1","1967","Suburban","Fair","Yes","414000.0"
"8","14","6684.4","3","1985","Suburban","Fair","Yes","1446000.0"
"16","16","6319.9","1","2003","Suburban","Fair","Yes","1784000.0"
"9","11","4307.4","5","1961","Suburban","Fair","Yes","973000.0"
"4","14","3275.9","3","1974","Suburban","Fair","Yes","753000.0"
"13","20","12273.0","5","1992","Suburban","Fair","Yes","2725000.0"
"16","19","7575.7","2","2012","Suburban","Fair","Yes","2200000.0"
"6","16","6848.5","1","1954","Suburban","Fair","Yes","1265000.0"
"6","12","5170.1","4","2015","Suburban","Fair","Yes","1395000.0"
"20","8","10849.3","2","2020","Suburban","Fair","Yes","2904000.0"
"20","17","14150.0","3","1960","Suburban","Fair","Yes","2631000.0"
"16","16","13545.8","5","1989","Suburban","Fair","Yes","2875000.0"
"8","7","6197.5","5","1989","Suburban","Fair","Yes","1315000.0"
"3","6","2565.2","1","1933","Suburban","Fair","Yes","442000.0"
"17","18","13529.1","3","1944","Suburban","Fair","Yes","2492000.0"
"18","20","7812.7","5","2012","Suburban","Fair","Yes","2360000.0"
"18","9","8132.5","2","1973","Suburban","Fair","Yes","1656000.0"
"17","12","7602.3","1","1933","Suburban","Fair","Yes","1568000.0"
"10","7","10095.1","4","1961","Suburban","Fair","Yes","1679000.0"
"10","2","4370.3","1","2002","Suburban","Fair","Yes","1011000.0"
"5","17","3773.7","2","1976","Suburban","Fair","Yes","899000.0"
"7","5","2844.0","4","1959","Suburban","Fair","Yes","606000.0"
"2","16","3790.4","3","1985","Suburban","Fair","Yes","905000.0"
"20","13","12176.6","4","1957","Suburban","Fair","Yes","2313000.0"
"14","17","5697.3","2","1953","Suburban","Fair","Yes","1345000.0"
"7","15","8357.1","5","1998","Suburban","Fair","Yes","1911000.0"
"12","20","12611.8","3","1982","Suburban","Fair","Yes","2518000.0"
"16","13","3905.8","3","1990","Suburban","Fair","Yes","1226000.0"
"1","13","2947.4","3","2007","Suburban","Fair","Yes","826000.0"
"13","14","9264.9","5","2004","Suburban","Fair","Yes","2296000.0"
"13","20","5303.4","4","1929","Suburban","Fair","Yes","1352000.0"
"18","18","11545.9","4","1993","Suburban","Fair","Yes","2696000.0"
"10","10","6110.1","4","1904","Suburban","Fair","Yes","1204000.0"
"4","8","3258.1","4","1965","Suburban","Fair","Yes","640000.0"
"11","4","5600.4","5","1978","Suburban","Fair","Yes","1137000.0"
"10","3","4654.7","3","2018","Suburban","Fair","Yes","1235000.0"
"2","5","2363.8","2","1992","Suburban","Fair","Yes","496000.0"
"10","2","3367.7","1","2007","Suburban","Fair","Yes","854000.0"
"20","1","9418.1","3","1937","Suburban","Fair","Yes","1734000.0"
"13","3","2479.9","1","1999","Suburban","Fair","Yes","743000.0"
"4","7","4189.9","4","1979","Suburban","Fair","Yes","803000.0"
"18","18","10874.3","5","1954","Suburban","Fair","Yes","2195000.0"
"12","16","6904.6","3","1992","Suburban","Fair","Yes","1697000.0"
"19","9","8182.4","4","2010","Suburban","Fair","Yes","2219000.0"
"3","10","2439.6","1","1993","Suburban","Fair","Yes","588000.0"
"16","20","6382.1","2","1925","Suburban","Fair","Yes","1540000.0"
"4","19","7353.3","5","1940","Suburban","Fair","Yes","1396000.0"
"9","5","7552.7","4","2000","Suburban","Fair","Yes","1648000.0"
"11","7","7764.8","3","2023","Suburban","Fair","Yes","2053000.0"
"19","9","9379.1","2","1972","Suburban","Fair","Yes","1835000.0"
"7","6","6040.3","2","1928","Suburban","Fair","Yes","1018000.0"
"14","4","8076.7","5","1932","Suburban","Fair","Yes","1472000.0"
"7","1","4252.1","1","2023","Suburban","Fair","Yes","1063000.0"
"12","3","7112.2","5","2022","Suburban","Fair","Yes","1881000.0"
"3","14","4860.5","3","1963","Suburban","Fair","Yes","921000.0"
"8","10","4409.8","3","2013","Suburban","Fair","Yes","1223000.0"
"13","9","8142.9","2","1924","Suburban","Fair","Yes","1501000.0"
"5","3","2542.1","3","2009","Suburban","Fair","Yes","627000.0"
"6","18","7569.3","3","1943","Suburban","Fair","Yes","1427000.0"
"3","16","4671.1","1","1930","Suburban","Fair","Yes","901000.0"
"8","2","2283.2","2","1969","Suburban","Fair","Yes","473000.0"
"4","6","4455.1","5","1973","Suburban","Fair","Yes","795000.0"
"5","7","4506.8","5","1965","Suburban","Fair","Yes","828000.0"
"8","8","5653.4","1","2007","Suburban","Fair","Yes","1353000.0"
"15","3","6073.3","4","1975","Suburban","Fair","Yes","1242000.0"
"12","12","7060.4","1","1981","Suburban","Fair","Yes","1492000.0"
"13","13","8251.0","2","1990","Suburban","Fair","Yes","1851000.0"
"3","16","5734.8","3","1964","Suburban","Fair","Yes","1072000.0"
"6","3","1678.7","1","1968","Suburban","Fair","Yes","346000.0"
"15","19","12336.6","3","2011","Suburban","Fair","Yes","3127000.0"
"11","11","3354.3","4","2008","Suburban","Fair","Yes","1089000.0"
"1","1","2548.0","3","1924","Suburban","Fair","Yes","397000.0"
"2","6","2338.8","5","1965","Suburban","Fair","Yes","472000.0"
"15","15","6902.1","2","1972","Suburban","Fair","Yes","1509000.0"
"13","3","3783.7","1","1954","Suburban","Fair","Yes","800000.0"
"17","14","10080.7","1","1966","Suburban","Fair","Yes","1933000.0"
"5","2","1262.0","3","1953","Suburban","Fair","Yes","327000.0"
"19","19","12071.7","3","1986","Suburban","Fair","Yes","2674000.0"
"5","11","5071.1","3","1997","Suburban","Fair","Yes","1166000.0"
"9","17","8983.5","2","1978","Suburban","Fair","Yes","1765000.0"
"20","1","10902.7","2","1983","Suburban","Fair","Yes","2139000.0"
"13","6","8145.9","4","2022","Suburban","Fair","Yes","2170000.0"
"6","18","3176.7","2","1962","Suburban","Fair","Yes","829000.0"
"10","9","4756.1","1","1982","Suburban","Fair","Yes","1051000.0"
"11","2","4035.4","5","1959","Suburban","Fair","Yes","825000.0"
"15","10","9777.5","4","1990","Suburban","Fair","Yes","2129000.0"
"13","19","8661.9","3","1990","Suburban","Fair","Yes","2042000.0"
"4","2","3018.3","5","2012","Suburban","Fair","Yes","722000.0"
"18","11","10509.1","1","2023","Suburban","Fair","Yes","2872000.0"
"9","18","9189.0","1","1974","Suburban","Fair","Yes","1737000.0"
"3","2","837.0","3","1928","Suburban","Fair","Yes","239000.0"
"1","20","4026.3","5","1990","Suburban","Fair","Yes","1077000.0"
"8","14","5104.7","2","1987","Suburban","Fair","Yes","1201000.0"
"4","18","9435.2","2","1952","Suburban","Fair","Yes","1609000.0"
"16","13","9610.2","4","1992","Suburban","Fair","Yes","2212000.0"
"17","16","15707.9","4","1991","Suburban","Fair","Yes","3162000.0"
"8","3","3694.8","4","1992","Suburban","Fair","Yes","839000.0"
"1","10","2719.7","1","2007","Suburban","Fair","Yes","698000.0"
"13","6","4646.7","3","1983","Suburban","Fair","Yes","1093000.0"
"10","18","6024.9","5","1989","Suburban","Fair","Yes","1535000.0"
"2","2","2881.0","2","1970","Suburban","Fair","Yes","542000.0"
"18","2","10090.2","3","2023","Suburban","Fair","Yes","2648000.0"
"8","9","5084.2","4","1948","Suburban","Fair","Yes","1000000.0"
"11","7","6266.8","3","1960","Suburban","Fair","Yes","1181000.0"
"4","3","501.0","1","2013","Suburban","Fair","Yes","175000.0"
"6","10","5717.7","1","1989","Suburban","Fair","Yes","1181000.0"
"14","12","9035.4","5","2004","Suburban","Fair","Yes","2242000.0"
"16","2","5856.3","4","1964","Suburban","Fair","Yes","1177000.0"
"1","1","4646.0","2","2009","Suburban","Fair","Yes","1015000.0"
"12","3","5782.2","4","2023","Suburban","Fair","Yes","1586000.0"
"6","20","8333.1","4","2008","Suburban","Fair","Yes","2095000.0"
